loan_id,customer_id,loan_type,loan_amount,outstanding_amount,interest_rate,loan_term_months,loan_status,application_date,disbursement_date,maturity_date
L0004681,C002704,Personal,1170401.11,0.0,16.25,24,Paid Off,2022-04-01,2022-05-03,2024-05-03
L0004682,C004461,Personal,976841.8,875051.8,15.43,60,Current,2023-07-25,2023-08-17,2028-08-17
L0004683,C008469,Personal,356751.99,0.0,12.19,24,Paid Off,2022-08-08,2022-08-20,2024-08-20
L0004684,C004498,Business,4631643.72,3966656.43,12.53,84,Current,2022-07-07,2022-07-15,2029-07-15
L0004685,C007928,Mortgage,9245350.9,8461476.11,10.83,120,Current,2023-04-01,2023-04-26,2033-04-26
L0004686,C009112,Mortgage,4170797.88,3944765.72,11.62,60,Current,2021-08-22,2021-08-24,2026-08-24
L0004687,C007336,Personal,173423.17,160689.21,13.4,36,Current,2024-05-20,2024-06-03,2027-06-03
L0004688,C003551,Business,1880220.14,1566591.74,11.39,48,Current,2023-07-23,2023-08-05,2027-08-05
L0004689,C004777,Mortgage,11934362.69,9225958.91,9.54,120,Current,2021-01-06,2021-01-30,2031-01-30
L0004690,C005876,Education,403027.8,255111.29,12.1,24,Current,2023-06-11,2023-06-30,2025-06-30
L0004691,C000489,Business,8000000.0,7384677.82,14.07,84,Current,2024-10-06,2024-10-25,2031-10-25
L0004692,C009167,Auto,1526445.19,1410929.13,10.32,36,Current,2023-12-31,2024-02-02,2027-02-02
L0004693,C003538,Education,2000000.0,1536530.84,10.67,60,Current,2023-10-24,2023-11-19,2028-11-19
L0004694,C001178,Business,2138830.56,979838.8,13.27,48,Delinquent,2024-06-03,2024-06-07,2028-06-07
L0004695,C004964,Mortgage,15000000.0,13124958.82,8.05,60,Current,2022-04-12,2022-05-07,2027-05-07
L0004696,C002885,Auto,3394754.54,0.0,13.19,24,Paid Off,2022-02-12,2022-02-27,2024-02-27
L0004697,C006309,Personal,388935.12,0.0,16.08,24,Closed,2022-06-23,2022-06-26,2024-06-26
L0004698,C007336,Mortgage,3226662.4,2631957.81,10.41,180,Current,2022-06-12,2022-07-06,2037-07-06
L0004699,C008652,Personal,343991.99,0.0,15.39,48,Paid Off,2023-03-15,2023-04-04,2027-04-04
L0004700,C009384,Personal,280008.47,265872.91,11.82,48,Current,2024-04-18,2024-05-05,2028-05-05
L0004701,C007532,Education,646207.2,0.0,9.47,24,Paid Off,2021-07-09,2021-07-29,2023-07-29
L0004702,C009627,Mortgage,10990775.53,10333546.99,11.02,120,Current,2024-07-01,2024-07-12,2034-07-12
L0004703,C001665,Mortgage,2027837.14,1849244.67,8.89,180,Current,2022-08-06,2022-09-04,2037-09-04
L0004704,C009214,Personal,399839.59,247126.36,15.17,60,Current,2021-12-17,2022-01-01,2027-01-01
L0004705,C009632,Auto,888571.6,718461.54,10.63,36,Current,2023-04-14,2023-05-02,2026-05-02
L0004706,C005907,Education,229782.57,0.0,8.87,24,Paid Off,2021-11-01,2021-11-19,2023-11-19
L0004707,C009986,Mortgage,11559757.69,9233600.98,10.84,60,Current,2022-06-14,2022-07-10,2027-07-10
L0004708,C008190,Personal,1182908.65,1110377.56,18.15,60,Current,2024-09-18,2024-09-23,2029-09-23
L0004709,C004105,Personal,1492707.73,0.0,13.47,36,Closed,2021-05-14,2021-06-12,2024-06-12
L0004710,C003602,Auto,913719.46,0.0,10.45,48,Closed,2021-07-25,2021-08-11,2025-08-11
L0004711,C009178,Business,872790.33,808478.82,15.65,36,Current,2023-01-02,2023-02-01,2026-02-01
L0004712,C008687,Personal,278326.75,154296.86,15.21,36,Current,2022-07-08,2022-08-06,2025-08-06
L0004713,C005464,Business,5636197.2,0.0,12.41,48,Closed,2023-07-28,2023-08-05,2027-08-05
L0004714,C002588,Auto,2472546.09,1235763.93,11.33,24,Current,2023-02-21,2023-03-08,2025-03-08
L0004715,C000963,Personal,1500000.0,0.0,13.61,12,Paid Off,2021-11-29,2021-12-09,2022-12-09
L0004716,C001049,Business,4163860.32,2266855.63,13.9,48,Current,2022-01-11,2022-01-22,2026-01-22
L0004717,C001175,Auto,1514094.11,1332266.59,14.32,36,Current,2024-10-01,2024-10-08,2027-10-08
L0004718,C006015,Mortgage,10583231.12,7473734.15,10.58,120,Current,2021-11-05,2021-11-16,2031-11-16
L0004719,C004246,Personal,1325849.93,0.0,14.98,24,Paid Off,2022-08-20,2022-08-25,2024-08-25
L0004720,C009063,Auto,2458447.46,2162813.74,11.16,36,Current,2024-06-27,2024-07-23,2027-07-23
L0004721,C003069,Auto,3389739.98,2231071.29,12.58,48,Current,2021-12-19,2021-12-24,2025-12-24
L0004722,C001690,Mortgage,3318517.5,2660310.21,9.23,60,Current,2022-11-08,2022-12-09,2027-12-09
L0004723,C006737,Personal,1037978.05,848954.93,15.46,24,Current,2023-07-12,2023-07-17,2025-07-17
L0004724,C005853,Business,5323090.3,0.0,13.85,24,Paid Off,2022-11-11,2022-12-07,2024-12-07
L0004725,C002806,Personal,1069388.93,0.0,14.09,60,Paid Off,2022-05-27,2022-06-11,2027-06-11
L0004726,C008201,Auto,794853.64,679313.67,14.33,60,Current,2024-01-07,2024-01-20,2029-01-20
L0004727,C004610,Auto,2509267.07,1545123.34,15.11,24,Current,2023-12-16,2023-12-24,2025-12-24
L0004728,C000462,Personal,631157.91,0.0,13.98,24,Paid Off,2022-11-21,2022-12-04,2024-12-04
L0004729,C005690,Mortgage,8691186.18,7388585.39,12.22,180,Current,2022-08-08,2022-08-22,2037-08-22
L0004730,C000045,Auto,2844617.74,2223115.28,13.33,60,Current,2023-07-20,2023-08-06,2028-08-06
L0004731,C005909,Business,4780183.99,0.0,12.72,24,Paid Off,2021-01-03,2021-01-08,2023-01-08
L0004732,C002742,Auto,2412850.06,1972739.82,15.46,36,Current,2024-04-28,2024-05-09,2027-05-09
L0004733,C000425,Education,1414320.79,1321237.61,7.75,60,Current,2024-07-03,2024-08-04,2029-08-04
L0004734,C006917,Auto,2616769.12,0.0,13.25,48,Paid Off,2021-05-28,2021-06-06,2025-06-06
L0004735,C005075,Education,1762720.57,1120306.15,11.48,36,Current,2023-09-20,2023-10-23,2026-10-23
L0004736,C002507,Auto,909411.75,779175.53,12.65,48,Delinquent,2022-08-08,2022-08-27,2026-08-27
L0004737,C005741,Personal,228407.37,191450.5,15.61,48,Current,2024-09-17,2024-09-25,2028-09-25
L0004738,C009514,Education,745985.83,632198.23,10.64,24,Current,2024-05-22,2024-06-12,2026-06-12
L0004739,C004467,Education,1119178.03,421293.37,9.21,24,Delinquent,2024-10-28,2024-11-26,2026-11-26
L0004740,C000336,Education,2000000.0,62626.17,9.08,48,Closed,2021-04-27,2021-05-09,2025-05-09
L0004741,C002486,Auto,3670716.4,3030482.37,11.29,24,Current,2024-09-06,2024-09-24,2026-09-24
L0004742,C002422,Mortgage,12706871.84,9396404.49,11.56,60,Current,2022-09-01,2022-09-21,2027-09-21
L0004743,C007329,Mortgage,4665493.44,4337021.36,10.21,240,Current,2022-12-27,2023-01-05,2043-01-05
L0004744,C000956,Personal,380752.31,328297.04,13.16,36,Current,2022-12-26,2023-01-07,2026-01-07
L0004745,C001911,Auto,789442.15,469426.61,14.44,60,Current,2022-01-12,2022-01-24,2027-01-24
L0004746,C007579,Personal,1284653.85,0.0,14.86,12,Paid Off,2021-08-18,2021-09-07,2022-09-07
L0004747,C004773,Business,3992544.54,3141135.38,12.22,48,Current,2021-06-12,2021-07-12,2025-07-12
L0004748,C002360,Business,8000000.0,6997550.91,14.31,36,Current,2023-11-25,2023-12-02,2026-12-02
L0004749,C003285,Mortgage,3207599.92,3001144.79,10.46,120,Current,2024-08-25,2024-09-03,2034-09-03
L0004750,C005523,Mortgage,10695055.9,9909667.76,10.6,240,Current,2022-08-01,2022-08-29,2042-08-29
L0004751,C008540,Mortgage,11174759.61,5125206.85,12.39,180,Default,2022-01-04,2022-02-07,2037-02-07
L0004752,C005478,Business,4354688.28,3266852.83,10.8,48,Current,2023-12-06,2024-01-07,2028-01-07
L0004753,C006953,Personal,942906.73,363184.72,12.87,36,Default,2022-12-03,2022-12-29,2025-12-29
L0004754,C007487,Mortgage,7129979.92,6368885.25,10.81,240,Current,2023-05-25,2023-05-30,2043-05-30
L0004755,C006205,Auto,3228554.59,2793520.28,12.15,24,Current,2024-03-15,2024-03-19,2026-03-19
L0004756,C009332,Auto,3123890.25,0.0,15.29,24,Closed,2021-06-18,2021-07-22,2023-07-22
L0004757,C001051,Personal,286986.89,243448.17,16.63,60,Current,2024-05-01,2024-05-25,2029-05-25
L0004758,C000766,Auto,2289605.03,0.0,13.62,36,Paid Off,2021-04-20,2021-04-22,2024-04-22
L0004759,C001698,Personal,1316894.18,677759.09,15.57,48,Delinquent,2024-09-12,2024-09-17,2028-09-17
L0004760,C007230,Auto,1701431.08,1314244.36,13.74,48,Current,2022-08-05,2022-08-15,2026-08-15
L0004761,C004726,Auto,690090.06,0.0,13.24,24,Closed,2022-04-23,2022-05-13,2024-05-13
L0004762,C005037,Business,2280669.07,0.0,12.28,24,Paid Off,2021-01-22,2021-02-14,2023-02-14
L0004763,C003979,Personal,487973.7,0.0,12.95,24,Paid Off,2022-08-26,2022-09-16,2024-09-16
L0004764,C009495,Auto,979060.51,682263.61,9.71,36,Current,2023-06-03,2023-07-03,2026-07-03
L0004765,C005791,Personal,977503.12,907334.48,17.27,60,Current,2022-08-30,2022-09-25,2027-09-25
L0004766,C000864,Mortgage,6609529.98,5175263.76,11.21,240,Current,2021-04-11,2021-04-18,2041-04-18
L0004767,C003043,Mortgage,11190079.22,10536612.21,11.45,240,Current,2024-05-14,2024-05-31,2044-05-31
L0004768,C003148,Personal,447354.67,395233.72,14.05,24,Current,2024-06-11,2024-06-22,2026-06-22
L0004769,C004520,Education,648958.86,500352.85,9.27,48,Current,2022-03-12,2022-03-18,2026-03-18
L0004770,C004050,Business,6491116.49,5205481.2,11.6,36,Current,2022-11-20,2022-12-22,2025-12-22
L0004771,C004202,Personal,347020.38,0.0,11.88,36,Paid Off,2021-11-28,2021-12-26,2024-12-26
L0004772,C006896,Personal,1210515.56,720025.88,13.24,60,Current,2021-02-08,2021-03-11,2026-03-11
L0004773,C007947,Mortgage,8057081.26,7067288.27,10.16,120,Current,2021-02-14,2021-02-27,2031-02-27
L0004774,C003804,Education,1506053.82,0.0,9.87,48,Paid Off,2022-08-09,2022-08-11,2026-08-11
L0004775,C009201,Mortgage,9621789.4,9131606.09,8.51,180,Current,2021-11-07,2021-11-22,2036-11-22
L0004776,C005723,Business,7317686.57,0.0,11.71,60,Paid Off,2021-01-10,2021-01-16,2026-01-16
L0004777,C000857,Mortgage,13606620.17,9703815.82,10.47,60,Current,2023-04-30,2023-05-28,2028-05-28
L0004778,C002095,Auto,964079.85,825271.87,11.27,48,Current,2023-07-10,2023-07-16,2027-07-16
L0004779,C009032,Auto,1219366.78,903169.87,14.76,60,Delinquent,2024-01-20,2024-01-26,2029-01-26
L0004780,C007263,Personal,692415.57,567592.97,15.5,60,Current,2022-07-07,2022-08-09,2027-08-09
L0004781,C006547,Auto,2979491.9,2790032.17,11.67,60,Current,2024-07-07,2024-07-15,2029-07-15
L0004782,C002372,Business,2512310.94,0.0,12.94,84,Paid Off,2023-05-21,2023-06-11,2030-06-11
L0004783,C003362,Mortgage,9510058.41,8391707.43,10.52,180,Current,2022-06-05,2022-07-04,2037-07-04
L0004784,C006029,Business,3361308.85,3061095.15,14.52,48,Current,2023-06-24,2023-07-11,2027-07-11
L0004785,C007422,Personal,748825.22,669329.76,13.01,48,Current,2024-01-18,2024-02-17,2028-02-17
L0004786,C008229,Personal,1347546.62,758645.5,13.03,48,Current,2021-09-05,2021-09-21,2025-09-21
L0004787,C009774,Auto,3350138.15,0.0,13.17,24,Paid Off,2021-08-13,2021-08-16,2023-08-16
L0004788,C001630,Business,4162148.89,2336468.72,13.66,36,Current,2022-08-02,2022-08-22,2025-08-22
L0004789,C002678,Auto,2662492.13,2424439.42,13.35,36,Current,2022-03-01,2022-03-17,2025-03-17
L0004790,C008005,Education,1046953.36,853324.55,10.64,60,Current,2022-08-10,2022-09-09,2027-09-09
L0004791,C007793,Personal,752366.3,559580.31,14.13,36,Current,2022-09-15,2022-09-17,2025-09-17
L0004792,C006852,Education,574398.57,344130.5,9.24,36,Current,2023-08-04,2023-08-08,2026-08-08
L0004793,C000463,Auto,2212831.07,1684861.25,14.21,36,Current,2024-02-27,2024-03-17,2027-03-17
L0004794,C001699,Mortgage,8854985.39,8134888.71,7.17,120,Current,2023-10-29,2023-11-27,2033-11-27
L0004795,C002515,Personal,1195062.7,0.0,12.88,36,Paid Off,2021-06-04,2021-06-23,2024-06-23
L0004796,C009947,Mortgage,2255955.46,1913852.11,10.2,60,Current,2023-03-03,2023-03-08,2028-03-08
L0004797,C003553,Personal,286885.77,263822.64,15.02,24,Current,2023-08-25,2023-09-01,2025-09-01
L0004798,C006700,Business,8000000.0,6239212.05,14.67,48,Default,2024-03-26,2024-04-17,2028-04-17
L0004799,C002883,Education,187012.54,0.0,7.76,36,Paid Off,2021-09-01,2021-09-14,2024-09-14
L0004800,C007688,Business,2418409.27,1977100.38,11.67,60,Current,2024-04-16,2024-04-20,2029-04-20
L0004801,C008670,Auto,2298415.29,0.0,13.86,24,Paid Off,2021-11-05,2021-12-06,2023-12-06
L0004802,C006286,Personal,1139363.62,0.0,14.51,24,Paid Off,2021-01-28,2021-02-01,2023-02-01
L0004803,C009023,Personal,506750.18,0.0,14.39,36,Paid Off,2021-03-20,2021-04-15,2024-04-15
L0004804,C006023,Personal,1500000.0,0.0,14.28,24,Closed,2021-06-26,2021-07-26,2023-07-26
L0004805,C004823,Mortgage,3401917.54,2597242.69,12.01,60,Current,2023-12-25,2024-01-14,2029-01-14
L0004806,C008478,Business,5279271.72,2483113.72,13.27,36,Current,2022-06-30,2022-08-03,2025-08-03
L0004807,C000200,Business,633468.39,589101.33,14.2,48,Current,2021-07-24,2021-08-05,2025-08-05
L0004808,C009352,Education,302144.71,246171.61,11.74,48,Current,2021-04-03,2021-04-19,2025-04-19
L0004809,C007482,Auto,1367210.55,1216281.07,13.2,48,Current,2024-03-01,2024-03-24,2028-03-24
L0004810,C008876,Personal,542134.98,0.0,13.21,12,Paid Off,2023-08-31,2023-09-19,2024-09-19
L0004811,C002782,Business,7241567.32,0.0,14.27,24,Paid Off,2022-01-14,2022-02-05,2024-02-05
L0004812,C006453,Auto,416796.74,303713.94,12.75,24,Current,2023-08-19,2023-08-29,2025-08-29
L0004813,C006034,Mortgage,5833712.9,0.0,10.21,60,Paid Off,2021-08-20,2021-09-18,2026-09-18
L0004814,C009543,Business,3242124.85,0.0,15.33,24,Closed,2022-11-24,2022-12-14,2024-12-14
L0004815,C000072,Auto,2557965.79,69986.05,14.81,36,Closed,2022-10-21,2022-11-12,2025-11-12
L0004816,C007131,Mortgage,3864100.49,2910504.42,11.22,120,Current,2022-03-07,2022-03-20,2032-03-20
L0004817,C001949,Auto,2444798.83,0.0,11.28,36,Paid Off,2021-11-04,2021-12-05,2024-12-05
L0004818,C007791,Personal,822226.52,0.0,13.92,48,Paid Off,2021-01-17,2021-01-26,2025-01-26
L0004819,C004449,Business,3276279.33,3035836.2,13.57,84,Current,2021-03-11,2021-03-15,2028-03-15
L0004820,C002502,Education,592174.64,412061.73,10.6,48,Current,2023-04-10,2023-04-14,2027-04-14
L0004821,C004326,Business,2685155.96,2363664.31,11.97,60,Current,2023-05-20,2023-06-04,2028-06-04
L0004822,C003044,Business,1869344.18,1551811.74,13.83,60,Current,2023-01-01,2023-01-04,2028-01-04
L0004823,C007630,Mortgage,10345738.24,8178611.51,8.73,180,Current,2022-07-07,2022-07-31,2037-07-31
L0004824,C006129,Personal,206374.93,150081.23,12.43,60,Current,2023-08-21,2023-09-22,2028-09-22
L0004825,C001887,Education,453806.91,406366.72,9.44,48,Current,2022-02-18,2022-03-15,2026-03-15
L0004826,C000195,Education,1697021.01,1188044.75,10.01,60,Current,2023-07-23,2023-07-28,2028-07-28
L0004827,C007912,Mortgage,8769473.17,7123955.69,11.91,180,Current,2021-02-13,2021-03-06,2036-03-06
L0004828,C006883,Personal,1443654.07,1142143.08,13.53,60,Current,2024-03-23,2024-04-12,2029-04-12
L0004829,C008733,Personal,333046.31,0.0,14.81,24,Paid Off,2021-11-11,2021-11-13,2023-11-13
L0004830,C003388,Personal,927155.84,0.0,15.81,24,Paid Off,2022-01-01,2022-01-16,2024-01-16
L0004831,C007306,Personal,996409.96,0.0,14.67,12,Paid Off,2021-01-25,2021-02-21,2022-02-21
L0004832,C006851,Personal,1122487.71,0.0,15.76,12,Paid Off,2022-05-16,2022-06-19,2023-06-19
L0004833,C004827,Auto,3810683.34,2345233.04,11.61,48,Current,2023-03-04,2023-04-05,2027-04-05
L0004834,C004404,Personal,1176052.35,463038.4,12.93,24,Delinquent,2022-12-12,2023-01-03,2025-01-03
L0004835,C001222,Mortgage,1000000.0,0.0,9.38,60,Closed,2021-01-31,2021-03-05,2026-03-05
L0004836,C000087,Mortgage,11014403.91,9960610.4,9.46,240,Current,2022-05-30,2022-06-22,2042-06-22
L0004837,C008608,Business,5817170.45,0.0,12.94,24,Paid Off,2021-09-05,2021-09-07,2023-09-07
L0004838,C004715,Personal,466469.95,433336.64,15.18,36,Current,2024-01-07,2024-01-16,2027-01-16
L0004839,C002741,Education,1622562.05,800141.68,13.4,48,Current,2021-05-05,2021-05-15,2025-05-15
L0004840,C007171,Personal,1278087.4,0.0,11.97,36,Paid Off,2021-08-08,2021-08-19,2024-08-19
L0004841,C009501,Auto,3033835.79,2123163.81,9.2,36,Current,2022-04-26,2022-05-11,2025-05-11
L0004842,C003627,Personal,883248.3,0.0,14.58,24,Paid Off,2021-11-22,2021-11-27,2023-11-27
L0004843,C006326,Business,5094539.9,4445267.42,12.06,60,Current,2024-09-17,2024-10-08,2029-10-08
L0004844,C002021,Mortgage,2963385.02,2622176.82,9.31,240,Current,2024-05-14,2024-05-21,2044-05-21
L0004845,C000149,Auto,3066103.25,2235695.49,11.18,36,Current,2024-01-10,2024-02-11,2027-02-11
L0004846,C004918,Education,140979.58,128182.99,12.24,48,Current,2024-05-03,2024-05-18,2028-05-18
L0004847,C001908,Education,310774.9,267396.47,10.23,48,Current,2024-03-31,2024-04-30,2028-04-30
L0004848,C005794,Business,4916204.33,269006.86,14.06,60,Closed,2024-05-10,2024-05-18,2029-05-18
L0004849,C004003,Auto,367531.23,0.0,11.37,24,Closed,2021-02-22,2021-03-01,2023-03-01
L0004850,C001361,Mortgage,9630900.59,8418522.17,8.82,240,Current,2024-08-06,2024-08-08,2044-08-08
L0004851,C007253,Education,229397.42,103714.23,11.39,48,Delinquent,2022-03-19,2022-04-20,2026-04-20
L0004852,C008769,Mortgage,11941387.95,10554884.37,11.95,60,Current,2023-10-07,2023-10-29,2028-10-29
L0004853,C003988,Personal,1436025.83,0.0,16.48,12,Paid Off,2023-01-20,2023-01-30,2024-01-30
L0004854,C008121,Mortgage,13215270.97,11429078.67,11.13,240,Current,2021-03-17,2021-04-01,2041-04-01
L0004855,C008035,Auto,3331317.2,2770696.7,11.46,36,Current,2024-09-27,2024-09-29,2027-09-29
L0004856,C007533,Personal,291893.95,0.0,13.51,12,Paid Off,2021-02-03,2021-03-07,2022-03-07
L0004857,C005272,Personal,457956.26,0.0,15.29,12,Paid Off,2021-04-30,2021-06-03,2022-06-03
L0004858,C005895,Mortgage,3793266.54,3221669.1,8.86,60,Current,2024-02-06,2024-02-27,2029-02-27
L0004859,C009187,Mortgage,12469525.42,11961929.86,12.34,180,Current,2022-09-10,2022-09-21,2037-09-21
L0004860,C002185,Business,3752330.83,2723622.3,12.54,60,Current,2022-12-27,2023-01-15,2028-01-15
L0004861,C006242,Business,5699871.64,5310529.42,13.74,60,Current,2023-08-29,2023-09-18,2028-09-18
L0004862,C009738,Personal,325525.05,205582.89,13.88,24,Delinquent,2021-10-24,2021-10-27,2023-10-27
L0004863,C002872,Personal,108504.61,1772.98,14.36,48,Closed,2022-05-26,2022-06-11,2026-06-11
L0004864,C003568,Auto,1455833.02,1302498.28,12.8,60,Current,2023-12-17,2024-01-04,2029-01-04
L0004865,C008541,Personal,309095.27,267902.69,14.42,12,Delinquent,2021-06-14,2021-06-28,2022-06-28
L0004866,C003270,Business,6569512.2,5749808.14,15.65,48,Current,2022-09-02,2022-09-08,2026-09-08
L0004867,C009385,Mortgage,9157376.33,7023954.46,12.78,120,Current,2021-06-17,2021-07-20,2031-07-20
L0004868,C009004,Education,1380167.49,0.0,6.89,24,Paid Off,2023-03-09,2023-03-26,2025-03-26
L0004869,C000038,Mortgage,8256765.5,7095650.19,10.46,120,Current,2021-01-01,2021-01-23,2031-01-23
L0004870,C004529,Personal,613826.14,463692.62,13.62,48,Current,2023-10-27,2023-11-12,2027-11-12
L0004871,C003012,Auto,2321009.0,0.0,13.32,24,Paid Off,2021-10-04,2021-10-29,2023-10-29
L0004872,C002454,Mortgage,3900644.24,2882844.77,10.26,120,Current,2022-08-04,2022-08-27,2032-08-27
L0004873,C002731,Mortgage,8053611.5,6125906.88,11.24,120,Current,2021-05-03,2021-05-20,2031-05-20
L0004874,C004267,Personal,679360.34,323838.58,11.64,36,Current,2022-05-15,2022-06-08,2025-06-08
L0004875,C002670,Education,1026029.45,946640.45,9.24,36,Current,2024-09-07,2024-09-20,2027-09-20
L0004876,C003058,Personal,653912.61,400460.3,14.35,48,Current,2021-08-15,2021-08-21,2025-08-21
L0004877,C008053,Auto,4000000.0,0.0,11.01,24,Paid Off,2021-01-31,2021-03-03,2023-03-03
L0004878,C007261,Personal,62660.44,0.0,16.81,48,Paid Off,2022-02-15,2022-03-17,2026-03-17
L0004879,C000254,Personal,461122.81,380886.56,18.44,48,Current,2023-02-19,2023-03-13,2027-03-13
L0004880,C004275,Personal,219665.68,117027.58,16.11,36,Current,2022-09-08,2022-09-12,2025-09-12
L0004881,C003845,Business,5840821.3,3672784.18,12.31,24,Current,2024-02-03,2024-02-10,2026-02-10
L0004882,C004041,Personal,513971.31,266883.07,14.16,36,Current,2022-09-19,2022-10-11,2025-10-11
L0004883,C001991,Mortgage,8992514.19,6698506.88,11.99,120,Current,2021-02-02,2021-02-26,2031-02-26
L0004884,C008924,Education,490182.79,237598.73,9.91,36,Current,2022-09-04,2022-09-28,2025-09-28
L0004885,C009377,Personal,542812.65,354902.52,15.05,24,Current,2023-09-30,2023-10-07,2025-10-07
L0004886,C008125,Personal,68175.68,52189.91,12.06,60,Current,2023-09-10,2023-09-22,2028-09-22
L0004887,C005606,Business,5690983.55,0.0,9.91,24,Closed,2021-02-14,2021-02-24,2023-02-24
L0004888,C007115,Personal,127431.72,98400.27,16.03,60,Current,2023-10-25,2023-11-02,2028-11-02
L0004889,C001796,Mortgage,11340177.99,4094743.53,7.02,120,Default,2024-09-30,2024-10-05,2034-10-05
L0004890,C002267,Personal,926575.23,808331.44,14.44,48,Current,2024-05-13,2024-05-23,2028-05-23
L0004891,C004002,Auto,4000000.0,0.0,13.18,36,Paid Off,2021-10-04,2021-10-15,2024-10-15
L0004892,C004964,Personal,250568.86,0.0,13.33,24,Paid Off,2022-06-06,2022-06-27,2024-06-27
L0004893,C007178,Personal,1174618.91,1076534.1,14.66,60,Current,2021-10-28,2021-11-27,2026-11-27
L0004894,C001495,Auto,2911365.51,0.0,15.23,24,Paid Off,2021-03-24,2021-04-10,2023-04-10
L0004895,C007141,Personal,963740.23,725075.55,15.5,12,Current,2024-07-17,2024-07-23,2025-07-23
L0004896,C009490,Personal,386047.54,364724.72,15.21,48,Current,2023-12-03,2023-12-08,2027-12-08
L0004897,C006209,Auto,3383215.51,1125414.63,13.67,60,Default,2024-06-28,2024-07-13,2029-07-13
L0004898,C001017,Mortgage,2627092.65,91273.51,8.03,60,Closed,2022-05-24,2022-06-08,2027-06-08
L0004899,C008945,Mortgage,8482176.63,0.0,8.51,180,Closed,2023-07-20,2023-07-22,2038-07-22
L0004900,C003009,Mortgage,12324288.13,10807819.52,9.29,180,Current,2021-05-01,2021-05-23,2036-05-23
L0004901,C009002,Business,8000000.0,2177408.42,14.88,60,Default,2024-07-19,2024-08-14,2029-08-14
L0004902,C003391,Mortgage,13143742.35,12272128.26,9.17,240,Current,2024-07-20,2024-08-15,2044-08-15
L0004903,C008406,Mortgage,4308339.49,2670541.99,9.48,120,Delinquent,2023-03-12,2023-04-03,2033-04-03
L0004904,C008133,Mortgage,3122023.83,0.0,9.93,180,Paid Off,2021-10-25,2021-10-27,2036-10-27
L0004905,C002755,Mortgage,15000000.0,13724393.3,8.09,120,Current,2023-04-13,2023-04-29,2033-04-29
L0004906,C005016,Mortgage,7598764.37,6015305.97,13.14,60,Current,2022-07-23,2022-08-03,2027-08-03
L0004907,C000089,Personal,907978.56,0.0,14.47,12,Closed,2023-09-02,2023-09-16,2024-09-16
L0004908,C006404,Business,2631652.46,2305502.55,14.57,84,Current,2024-07-25,2024-08-26,2031-08-26
L0004909,C002205,Personal,558970.2,0.0,12.09,12,Paid Off,2021-12-19,2022-01-01,2023-01-01
L0004910,C006063,Personal,837038.88,0.0,15.7,24,Paid Off,2022-09-22,2022-09-26,2024-09-26
L0004911,C007274,Mortgage,13011053.52,9490134.77,10.14,180,Current,2021-03-03,2021-04-02,2036-04-02
L0004912,C001759,Auto,308775.85,293763.58,12.85,48,Current,2024-07-01,2024-07-19,2028-07-19
L0004913,C000403,Personal,288142.57,241519.07,12.33,36,Delinquent,2024-10-13,2024-11-10,2027-11-10
L0004914,C003506,Personal,150947.98,121474.32,14.89,36,Current,2024-03-14,2024-03-31,2027-03-31
L0004915,C005203,Personal,184287.68,144750.06,15.17,60,Current,2023-09-13,2023-10-05,2028-10-05
L0004916,C008801,Personal,391757.66,349169.36,15.95,60,Current,2024-05-11,2024-06-11,2029-06-11
L0004917,C008407,Education,1196410.94,736083.39,9.71,24,Current,2023-06-04,2023-06-29,2025-06-29
L0004918,C009466,Personal,698052.84,0.0,13.58,12,Paid Off,2023-01-10,2023-02-02,2024-02-02
L0004919,C009673,Personal,761110.91,0.0,15.72,12,Paid Off,2022-08-04,2022-08-10,2023-08-10
L0004920,C001053,Mortgage,6755914.22,6471999.93,11.2,60,Current,2021-08-31,2021-09-05,2026-09-05
L0004921,C001827,Auto,1917672.67,1188815.64,14.48,36,Current,2022-02-14,2022-03-14,2025-03-14
L0004922,C000666,Personal,499404.17,416268.6,15.56,24,Current,2023-12-16,2024-01-16,2026-01-16
L0004923,C009085,Business,8000000.0,4425458.14,12.23,36,Current,2023-01-05,2023-01-31,2026-01-31
L0004924,C009126,Education,303338.65,237943.92,7.04,24,Current,2024-08-13,2024-09-09,2026-09-09
L0004925,C000168,Business,5093748.58,0.0,12.0,24,Paid Off,2022-12-31,2023-01-30,2025-01-30
L0004926,C008082,Personal,781952.84,0.0,15.09,12,Paid Off,2021-01-03,2021-01-13,2022-01-13
L0004927,C002983,Personal,876748.52,0.0,15.01,36,Paid Off,2021-11-08,2021-11-26,2024-11-26
L0004928,C001021,Business,5534428.87,5304985.7,10.12,84,Current,2023-05-30,2023-06-27,2030-06-27
L0004929,C009016,Personal,664053.59,0.0,14.2,24,Paid Off,2023-01-05,2023-01-22,2025-01-22
L0004930,C002465,Personal,1500000.0,1326939.54,13.56,60,Current,2022-08-13,2022-09-08,2027-09-08
L0004931,C004891,Mortgage,13477686.78,12358928.22,12.48,240,Current,2022-01-03,2022-01-14,2042-01-14
L0004932,C002870,Auto,366932.35,0.0,11.51,36,Paid Off,2023-01-09,2023-02-09,2026-02-09
L0004933,C006726,Personal,679788.3,0.0,15.61,36,Paid Off,2021-03-18,2021-04-10,2024-04-10
L0004934,C009909,Mortgage,3671437.31,3507773.11,10.02,240,Current,2024-03-10,2024-03-18,2044-03-18
